		BOARD GAMES
32	Govee Interior 	https://www.amazon.com/Interior-Govee-Two-Line-Waterproof-Controller/product-reviews/B07Q6CPQK4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
33	Car vaccum	https://www.amazon.com/ThisWorx-for-TWC-01-Car-Vacuum/product-reviews/B06ZY896ZM/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
34	EP Auto Waterproof	https://www.amazon.com/EPAuto-Waterproof-Trash-Storage-Pockets/product-reviews/B08HSS3ZB4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
35	BDK Polypro	https://www.amazon.com/PolyCloth-Black-Blue-Seat-Covers/product-reviews/B01FKQW0SS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
		
		Fashion, Shoes, Accessories
36	Men Hoodie	https://www.amazon.com/product-reviews/B07R1DX7Q2/ref=zg_bs_1258644011_cr_1?ie=UTF8&refRID=56CXS9H4W2ECS6V8CDT7
37	Men Hoodie carhartt	https://www.amazon.com/product-reviews/B002G9UDEQ/ref=zg_bs_1258644011_cr_3?ie=UTF8&refRID=56CXS9H4W2ECS6V8CDT7
38	Warner womens	https://www.amazon.com/product-reviews/B07KBLNZ7H/ref=zg_bs_7147440011_cr_1?ie=UTF8&refRID=Q1CGY3GWGN1CCM3KBFZD
39	Legging depo	https://www.amazon.com/product-reviews/B07YYSC22N/ref=zg_bs_7147440011_cr_5?ie=UTF8&refRID=Q1CGY3GWGN1CCM3KBFZD
40	Hanes Women	https://www.amazon.com/product-reviews/B0169P8D8K/ref=zg_bs_7147440011_cr_7?ie=UTF8&refRID=Q1CGY3GWGN1CCM3KBFZD
41	Women Cap	https://www.amazon.com/product-reviews/B01N5HUOFP/ref=zg_bs_7147440011_cr_16?ie=UTF8&refRID=Q1CGY3GWGN1CCM3KBFZD
42	Crocs	https://www.amazon.com/product-reviews/B08Q1C9V3N/ref=zg_bs_7147443011_cr_4?ie=UTF8&refRID=T3HYBXH9624H931D54J8
43	Battery Energizer	https://www.amazon.com/product-reviews/B08K3FZ314/ref=zg_bs_7586146011_cr_2?ie=UTF8&refRID=E5NJDQ9GKKXQCXXDPSHW
44	Dr Schools	https://www.amazon.com/product-reviews/B08KGLGYQG/ref=zg_bs_7586146011_cr_10?ie=UTF8&refRID=E5NJDQ9GKKXQCXXDPSHW
45	Memoryfoam Slippers	https://www.amazon.com/product-reviews/B082B4V3W4/ref=zg_bs_fashion_cr_18?ie=UTF8&refRID=YNGD4Z9QWW3EGRSXGX6G
		
		Home and Kitchen
46	Instant Pot	https://www.amazon.com/product-reviews/B085HK33BN/ref=zg_bs_home-garden_cr_5?ie=UTF8&refRID=NMKBVV9JCWSVR5H0M3AB
47	Pillowcase	https://www.amazon.com/product-reviews/B07RHQ481S/ref=zg_bs_home-garden_cr_2?ie=UTF8&refRID=NMKBVV9JCWSVR5H0M3AB
48	Candle	https://www.amazon.com/product-reviews/B07RNS2HS3/ref=zg_bs_home-garden_cr_1?ie=UTF8&refRID=NMKBVV9JCWSVR5H0M3AB
49	Bed Sheet	https://www.amazon.com/product-reviews/B00NLLUKZA/ref=zg_bs_home-garden_cr_9?ie=UTF8&refRID=NMKBVV9JCWSVR5H0M3AB
50	Showercurtain	https://www.amazon.com/product-reviews/B07N5K5K2S/ref=zg_bs_home-garden_cr_12?ie=UTF8&refRID=NMKBVV9JCWSVR5H0M3AB
