helpful_votes,page_url,total_review,visibility_status
155,amzn1.account.AFUGAVHZS7R2I3JTG4KMBHGZMMJA,95,Public
3,amzn1.account.AELMXS3U6S7LKMYYHLXI6RW5NIEQ,30,Public
175,amzn1.account.AELPBL3ZA3LPVLJRQ6M7YAAZES5A,129,Public
73,amzn1.account.AGZ7YK5W4JRZKZBJOIJGSNXXDMKQ,21,Public
7,amzn1.account.AEWI7EPMO3NDOH3ZQHDEDMNWJG7A,31,Public
50,amzn1.account.AHGSKICM6OGMGA2TKWXQZKBDZFPA,150,Public
161,amzn1.account.AEOF737BNB6LIV42PIGKVYC2E5SA,52,Public
357,amzn1.account.AFABX3QSQPR7KY4RP7WWCCB6A2IQ,103,Public
193,amzn1.account.AGDGVGNHO6NVHPDTSA4V6ICD2JBA,134,Public
109,amzn1.account.AGRI43EZ4REBSZIQG7OOCYCDI2GQ,62,Public
58,amzn1.account.AEGKMTGRYVMR2FYCMZO3WPJWWGZA,154,Public
173,amzn1.account.AGV2DMP3NCJWGUDT77QMZYY5YZUQ,83,Public
49,amzn1.account.AH2SGV4PRRSVNIDW7UMYSTJZRVTQ,83,Public
138,amzn1.account.AFSLKQPYCFHIJJUOFDCJJG5AN52Q,148,Public
2,amzn1.account.AEKMNDNBS4MFSMMIUDEU576WZVTQ,25,Public
30,amzn1.account.AGD5KSFY4QQO7VJXZWKHXH2D56AQ,10,Public
66,amzn1.account.AGNO5X47LPPGQF4QQLOUL45MYN6A,74,Public
3,amzn1.account.AEHRUKAKRP623U4JP7MTZ7OO6B5Q,50,Public
"1,760",amzn1.account.AEYIXSA7GR2NW7KDZB7GU2DFPNNQ,323,Public
37,amzn1.account.AFQWWUKTWZR3N4LF4RHTRIKJ3MAQ,89,Public
441,amzn1.account.AG4D6VPWENZ74WWLIGXWSR6ZH7WA,118,Public
65,amzn1.account.AFQ4NYQFOYBP6YCFCSGEC3MEGXXA,71,Public
27,amzn1.account.AHXMY654KKKVU2ZEN4XMWS6ZAR2Q,29,Public
57,amzn1.account.AGRM6K3KXWRS5VUCNZUMSCEAEYTQ,35,Public
5,amzn1.account.AEL66DJU3ABPCP5BYY54MJQXPTGQ,22,Public
244,amzn1.account.AFGXKR5QZ2636PRYOUXYLPTU3XIA,75,Public
37,amzn1.account.AEGB5PFCSMZSL2L2NX2PSDS6MHKQ,53,Public
6,amzn1.account.AGBRKO3FB5WGX6R5KW6YLTAHKD4Q,79,Public
25,amzn1.account.AGOZIDA3P43N4RZ3NNVXF7QMMFZQ,79,Public
81,amzn1.account.AGO6D7D3PIWGAKUD5J2KPZC2HOQQ,64,Public
14,amzn1.account.AEJ6WTLVA2HNWZ2X7VWNUY6A4I2A,20,Public
13,amzn1.account.AHFPCOKQVC4JLDJHO7CU5NWLA47Q,25,Public
4,amzn1.account.AH5ZYMW6I65ICX667FCLGTQAGCRA,25,Public
80,amzn1.account.AEEHDK7PUFLDSYIRF42FRRCDQHCQ,78,Public
