ranking
362135
116287
61761
3437135
177869
78117510
52729
5541021
5703317
546096
483321
1645192
3993928
6940000
92732
6708356
353113
2147407
78955878
116566
1002164
1328076
498834
805419
2075967
983663
79026045
333710
969171
409927
50539
71866
65479
11675
2062537
1563349
239380
179450
388759
957049
141854
205492
253920
1469809
7500548
416534
4848375
13312720
3337218
3231555
1692021
316891
527595
176801
1969888
555181
1899272
62593673
72332
744569
3122472
1116664
4441033
4700916
131217
3441185
512059
4294431
3748050
3819567
1012676
4415303
303694
1304337
166802
3010410
124869
1548730
2308651
998811
618987
856789
646282
62593673
253047
9656659
57687399
337247
3058524
272743
164377
78825218
4162232
525619
2161977
191176
671363
1407106
2408588
2051813
1078826
20992
3410974
734371
3789744
713916
13864780
9637439
79017863
10862894
501950
3277754
2940392
102750
1487659
96219
542952
119963
3138696
1807921
1401654
9416
2719828
1694312
2614348
1524992
3526918
78641184
3913583
4728653
5641585
43827
5517431
1015181
1579303
4576017
28965621
2794575
3027305
722338
2163564
1893881
3017628
5936972
2006549
194173
5879770
1093366
8392352
33369
62593673
3403971
1580232
132425
8402108
11879212
78984931
7804166
2316749
1874389
6378249
474528
5099808
30042
265192
3417518
845726
78906376
222957
11177367
567366
1087916
255470
2648287
1368495
78851528
4194983
2548531
3762997
6968556
3762086
141131
334030
62593673
531662
68747
170004
1383737
496273
1353620
1118083
3813411
17530566
1093256
5756607
6188004
8893693
18633296
1210691
9701154
62593673
2468309
78669386
3969491
185370
62593673
2010061
777819
1447409
2301194
8231760
2033177
575861
24363042
1225411
644242
39974224
24560
189012
18021
1547783
1480807
1419098
2192014
122053
78736054
4221
62593673
62593673
564854
25040440
2028006
9105443
5118467
536482
790886
195128
314069
7165067
1012782
13722578
400811
639681
8354905
62593673
3043659
7545074
766201
1046613
1533017
2233760
2083832
6214589
3922463
263611
250604
167460
3540129
78909397
18808798
1894291
62593673
62593673
1425541
118191
250704
1467400
15602204
41614847
7771299
4183077
78942156
205975
121932
5519963
2850757
22674530
1564418
32115690
6323489
78863256
62589354
662255
78324206
296243
964318
3838
735295
1904280
156909
4471168
116847
62593673
13502335
78107689
3588073
10661253
1580232
5817556
910558
655117
6367421
1388234
24885327
78990394
517355
6629940
475814
9907846
777318
243066
3080065
168779
9519618
1453589
1540673
3678514
2033412
1363767
891774
863326
411892
2954024
777749
24801969
1833085
78721087
78590412
35361497
78499945
986970
2017936
535798
1230668
2828476
5557125
78557649
9767678
2071549
3791519
119481
62593673
3962780
304127
8986806
6870666
166155
120443
79026526
78953597
2007448
15173546
