author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful,,helpful_votes,total_review,visibility_status,ranking
Kindle Customer,/gp/profile/amzn1.account.AF36CC6XSEPC3NOFRWOVDBXUK6XQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 6, 2021",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,I loved it.,She plays it every day.,Verified Purchase,2 people found this helpful,,32,8,Public,83139797
oangie,/gp/profile/amzn1.account.AG2U7IOPYPQ7ZJOCTOMHMJIYURVQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 15, 2019",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,My son loves this. He’s memorized every word,Noise maker,Verified Purchase,30 people found this helpful,,55,58,Public,3863976
Kelsey,/gp/profile/amzn1.account.AGMVXVT7VJLNSG4ED2VZOX5KK53A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 30, 2019",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,Good game,Good game,Verified Purchase,10 people found this helpful,,88,75,Public,83840427
mbn,/gp/profile/amzn1.account.AGYJG57EXV47ZOTQL2W73F5YYKOQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 30, 2019",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,3 year old loved it!!,Good game,Verified Purchase,16 people found this helpful,,32,44,Public,4175216
Amazon Customer,/gp/profile/amzn1.account.AHFAVZLUULAOW75PMWCGOEURS66Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 6, 2016",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,My boy love this show... amazon fire with blue case best gift ever.,Five Stars,Verified Purchase,23 people found this helpful,,57,39,Public,1985594
Belinda Roberson,/gp/profile/amzn1.account.AH5SQPC54T4LRZSWZEXFFSG5KDRA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 25, 2020",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,Free kids game,Free game,Verified Purchase,11 people found this helpful,,64,267,Public,1867445
Amazon Customer,/gp/profile/amzn1.account.AF2BOMXWJREBYJXB6GELLOVZ37UA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 5, 2017",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,My 3 year old loves this game!,Five Stars,Verified Purchase,13 people found this helpful,,18,41,Public,83191868
cutting the pattern llc,/gp/profile/amzn1.account.AGO7RPKMLSIH7DWJY5GOKDRHIQHA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 11, 2019",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,this was very popular with the children,Great product,Verified Purchase,2 people found this helpful,,83,39,Public,83259155
Barbara Jean Kietzman,/gp/profile/amzn1.account.AGIR63W7NFIRZGVBVJDKMJXQ33VA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 1, 2019",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,4.0 out of 5 stars,Pretty good game it’s only a little educational,It’s fun,Verified Purchase,21 people found this helpful,,24,3,Public,82612184
Sarah S.,/gp/profile/amzn1.account.AG2JMUWFSZAVLOX2OTLVAMQHI3RQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 14, 2018",0,,https://www.amazon.com/Entertainment-One-Ltd-Masks-Moonlight/product-reviews/B01GG7JB28/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,Daughter loves this game - keeps her entertained,Pj mask,Verified Purchase,40 people found this helpful,,147,125,Public,2512511
