author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful,helpful_votes,total_review,visibility_status,ranking
Gamer,/gp/profile/amzn1.account.AGKWPWRN7KGIGUTVFNUWCHGUHWPQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 5, 2021",0,,https://www.amazon.com/RobTop-Games-Geometry-Dash/product-reviews/B00EDTSKLU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,3.0 out of 5 stars,I will tell you the story guys I was working on Building like creator boss FightSo it is good:),Is kind of good,Verified Purchase,18 people found this helpful,186,5,Public,
john e jadick,/gp/profile/amzn1.account.AGNKALWNQOBJD5S6K5P2ETBXWI5A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 4, 2021",0,,https://www.amazon.com/RobTop-Games-Geometry-Dash/product-reviews/B00EDTSKLU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"Not my favorite game, but it is so awesome owo",Yassssss,Verified Purchase,20 people found this helpful,27,2,Public,37414762
Lana,/gp/profile/amzn1.account.AEPU7BJLCPSBBWWSTU5RT7GH23ZA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 13, 2016",0,,https://www.amazon.com/RobTop-Games-Geometry-Dash/product-reviews/B00EDTSKLU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"This game is THE BOMB!!! It is so addicting and when you get to the level Clutterfunk and have beaten the rest of the levels before it you are the master of Geometry Dash!! Then when you unlock the final level DEADLOCKED, and you beat it, you are the official ruler of Geo Dash!!! Please say this is helpful!! Thank You!",The best game ever!!!!!!!!!,Verified Purchase,24 people found this helpful,25,3,Public,54608946
Troy C,/gp/profile/amzn1.account.AHDDEKLRRFYSSWH6RGTKQ465DR5Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 26, 2016",0,,https://www.amazon.com/RobTop-Games-Geometry-Dash/product-reviews/B00EDTSKLU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,Awesome adventure puzzle game. Keeps you entertained for hours,Great game,Verified Purchase,15 people found this helpful,16,8,Public,19605180
Charlie,/gp/profile/amzn1.account.AE23ZX6F3N2TRTTSULXVPISKRMEA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 13, 2016",0,,https://www.amazon.com/RobTop-Games-Geometry-Dash/product-reviews/B00EDTSKLU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"Hard, but fun","hard, but fun",Verified Purchase,11 people found this helpful,42,23,Public,20670555
mom of 5,/gp/profile/amzn1.account.AGQTSIDDLLPICTNFUYWRS46M7OEQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 16, 2016",0,,https://www.amazon.com/RobTop-Games-Geometry-Dash/product-reviews/B00EDTSKLU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,I really like the idea that you get to make your own levels!,BEST GAME EVER!,Verified Purchase,22 people found this helpful,32,11,Public,4814216
dana,/gp/profile/amzn1.account.AFRQHLASK25ZKJLZ5JOHQOESPKJA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 14, 2015",0,,https://www.amazon.com/RobTop-Games-Geometry-Dash/product-reviews/B00EDTSKLU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,Great game just fun to play when you are feeling board. This game has no explanation it's just fun,Awesome,Verified Purchase,10 people found this helpful,,,,40563426
Amazon Customer,/gp/profile/amzn1.account.AGERTYCXJXLEULPLAZRDV5G7DYEA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 25, 2015",0,,https://www.amazon.com/RobTop-Games-Geometry-Dash/product-reviews/B00EDTSKLU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"Even though I'm not very good at this game, I still have such a fun time playing it. I love the feature where you can make your own levels.",Swag in a Bag,Verified Purchase,11 people found this helpful,11,4,Public,53701611
person,/gp/profile/amzn1.account.AHJ6QWFX3FHFU5QGFZKGRQRDMUVQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 14, 2014",0,,https://www.amazon.com/RobTop-Games-Geometry-Dash/product-reviews/B00EDTSKLU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,This game is worth the $1.99. Is is fun for all ages and is a great game. It is also super addicting.,Fun!!,Verified Purchase,11 people found this helpful,29,12,Public,51584259
George Thomas,/gp/profile/amzn1.account.AHGSECKP5QYWW6FIAXTR46WTPJ2A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 16, 2015",0,,https://www.amazon.com/RobTop-Games-Geometry-Dash/product-reviews/B00EDTSKLU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,This is an awesome game,sledgehammer,Verified Purchase,9 people found this helpful,16,9,Public,41606500
Debigdaddy,/gp/profile/amzn1.account.AGTKGWGFJOAUTA33TGERB5OTEY6Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 19, 2015",0,,https://www.amazon.com/RobTop-Games-Geometry-Dash/product-reviews/B00EDTSKLU/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,5.0 out of 5 stars,Fantastic game. The graphics are creative and fun the music is catchy and the gameplay is so smooth. Love this game to death and will keep you entertained for hours if you patience to play the levels.,Great game. RobTop did awesome.,Verified Purchase,4 people found this helpful,4,2,Public,61842713
Manuel de Jesus Brioso Polanco,/gp/profile/amzn1.account.AHYESVE7H52P3NPM5APCK5UAFAPQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 1, 2020",2,,https://www.amazon.com/RobTop-Games-Geometry-Dash/product-reviews/B00EDTSKLU/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,5.0 out of 5 stars,"Excelente, el juego va muy bien en la tablet....lo adquirí para mi hijo él es quien lo juega y está encantado con el mismo ya que me dijo que tenia tiempo esperando por tenerlo...y como ya casi es su cumpleaños se lo había prometido para el mismo...",Geometry Dash (El original),Verified Purchase,53 people found this helpful,56,17,Public,1218399
nacho321,/gp/profile/amzn1.account.AFYPT7DRJ737O4EBAX3ONEK4FYAQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 20, 2015",0,,https://www.amazon.com/RobTop-Games-Geometry-Dash/product-reviews/B00EDTSKLU/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,5.0 out of 5 stars,Cool,Fun and I cant stop playing it,Verified Purchase,3 people found this helpful,8,16,Public,82570728
kristin,/gp/profile/amzn1.account.AHR64DLXEO64EYKJP7BPTGT3GN5Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 23, 2016",0,,https://www.amazon.com/RobTop-Games-Geometry-Dash/product-reviews/B00EDTSKLU/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,5.0 out of 5 stars,"geometry dash is AWESOME because, you can make your own levels and play other people's levels it's a great game, hope I see your level!!!!",GEOMETRY DASH REPORT,Verified Purchase,2 people found this helpful,11,4,Public,14904829
Deserie,/gp/profile/amzn1.account.AEYNJX3TFMYHW5FAME5K5AQ5XLWA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 9, 2015",0,,https://www.amazon.com/RobTop-Games-Geometry-Dash/product-reviews/B00EDTSKLU/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,5.0 out of 5 stars,Best game ever and totally worth the money I play it all the time and never get tired of it,AMAZING,Verified Purchase,3 people found this helpful,4,10,Public,10373706
Kindle Customer,/gp/profile/amzn1.account.AEBABFGGE3XOHGL4DQC7HZNZPYVQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 14, 2014",0,,https://www.amazon.com/RobTop-Games-Geometry-Dash/product-reviews/B00EDTSKLU/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,5.0 out of 5 stars,It's hard but cool,awsome,Verified Purchase,3 people found this helpful,33,20,Public,8298000
cara hildebrand,/gp/profile/amzn1.account.AFPNZ5JB2NLJJ27LU5IVP3IPGMZA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 18, 2016",0,,https://www.amazon.com/RobTop-Games-Geometry-Dash/product-reviews/B00EDTSKLU/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,5.0 out of 5 stars,Amazing,Five Stars,Verified Purchase,3 people found this helpful,24,7,Public,23476620
rach,/gp/profile/amzn1.account.AEBXQT6IF3C6FWDHGOUYNVNWDBOQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 28, 2015",0,,https://www.amazon.com/RobTop-Games-Geometry-Dash/product-reviews/B00EDTSKLU/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,5.0 out of 5 stars,"It is a tricky, fun, game, you should buy it . In full version you can create your own levels. I like geometry dash it's a fun game .",Amazing game,Verified Purchase,2 people found this helpful,522,5,Public,31100492
Austin B.,/gp/profile/amzn1.account.AGBIDANO452OXZZEMRZG7RTXYAOQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 30, 2015",0,,https://www.amazon.com/RobTop-Games-Geometry-Dash/product-reviews/B00EDTSKLU/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,5.0 out of 5 stars,Very well designed with lots of attention to detail. Gameplay is simple but challenging and the music is great. Five stars!,Gameplay is simple but challenging and the music is great. Five stars,Verified Purchase,4 people found this helpful,5,4,Public,35206309
tyranny d thomas,/gp/profile/amzn1.account.AECP3VEA635V7XEA5ERIV3YLW3YQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 17, 2016",0,,https://www.amazon.com/RobTop-Games-Geometry-Dash/product-reviews/B00EDTSKLU/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,5.0 out of 5 stars,I think this game is really asome,Five Stars,Verified Purchase,5 people found this helpful,5,2,Public,56912017
Amber,/gp/profile/amzn1.account.AHEAB3SMFLBHO2TSEZNFL5CAF22A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 19, 2016",0,,https://www.amazon.com/RobTop-Games-Geometry-Dash/product-reviews/B00EDTSKLU/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,5.0 out of 5 stars,AwesomePlay now,hi,Verified Purchase,4 people found this helpful,5,8,Public,27722765
Kindle Customer,/gp/profile/amzn1.account.AFDON7RPW3XZ5ZUD36I3IDY3XX4A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 21, 2015",0,,https://www.amazon.com/RobTop-Games-Geometry-Dash/product-reviews/B00EDTSKLU/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,5.0 out of 5 stars,Great game!,Great!,Verified Purchase,2 people found this helpful,5,20,Public,21759496
