author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful,helpful_votes,total_review,visibility_status,ranking
She Devvil13,/gp/profile/amzn1.account.AH773LBZPXWBGX6IAZHPYSWGNSXQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 7, 2021",0,,https://www.amazon.com/Playrix-Homescapes/product-reviews/B0739V781Z/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,3.0 out of 5 stars,"I thought this was more of the mini games and less like playing Farmville... But its not. It's slow at responding, the candy crush games are stupid, it should be easier and cheaper to get the extra 5 plays, but it just goes up in cost. I wish there were more of the mini games instead of 1 in 10-20. Its just like every other game, you have to spend $$$ to play!!!",The preview for this game was so false!!,Verified Purchase,,120,48,Public,517905
Simone Bittle,/gp/profile/amzn1.account.AGDO3NCWKRLQ2SSZPAOTZSQ6BEEQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 8, 2021",0,,https://www.amazon.com/Playrix-Homescapes/product-reviews/B0739V781Z/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,Love these games on our Amazon Fire 8.,Great game,Verified Purchase,2 people found this helpful,185,856,Public,155047
Ladybug,/gp/profile/amzn1.account.AHR4IDF6YGFNAWX5ENF5L5FDUUCA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 7, 2021",0,,https://www.amazon.com/Playrix-Homescapes/product-reviews/B0739V781Z/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,4.0 out of 5 stars,I love this game 💕💕💕❤😉🙂,I love it,Verified Purchase,2 people found this helpful,54,5,Public,36276556
Amazon Customer,/gp/profile/amzn1.account.AEQPJA3ADDRT5JOD37JUKFYR263Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 13, 2017",0,,https://www.amazon.com/Playrix-Homescapes/product-reviews/B0739V781Z/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,4.0 out of 5 stars,Pretty good game,Good game,Verified Purchase,11 people found this helpful,20,7,Public,54421208
Lisa J Reynolds,/gp/profile/amzn1.account.AG6PRQVI3WHTND6DR2VH7MZ3JBSQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 7, 2018",0,,https://www.amazon.com/Playrix-Homescapes/product-reviews/B0739V781Z/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,Love the game,Love it,Verified Purchase,8 people found this helpful,19,7,Public,40198602
Genell Cornett loves Terry Brooks a lot,/gp/profile/amzn1.account.AEWIJ76BVKO6VPJEUAAC4EJ2S46Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 25, 2018",0,,https://www.amazon.com/Playrix-Homescapes/product-reviews/B0739V781Z/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,love this game its so easy and fun to p!ay,Awesome,Verified Purchase,7 people found this helpful,12,2,Public,49293222
Amazon Customer,/gp/profile/amzn1.account.AEEYIQEPGFRCKKYPSZKEV4JKFVZQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 30, 2017",0,,https://www.amazon.com/Playrix-Homescapes/product-reviews/B0739V781Z/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,4.0 out of 5 stars,Fun and interesting.,Relaxing and not so hard.🙌,Verified Purchase,8 people found this helpful,20,4,Public,22492719
Christa Neves,/gp/profile/amzn1.account.AF6IHSSJK2ZUB5RGW7Z6IHJPLH4Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 6, 2019",0,,https://www.amazon.com/Playrix-Homescapes/product-reviews/B0739V781Z/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,3.0 out of 5 stars,"I really like the game, but if I could, I would change it so that when you get awarded ""unlimited lives"" you wouldn't have to use them immediately.  I frequently have to give up a lot of the award since I just don't have that kind of time to be playing.  Seriously, I won 6 continuous hours of unlimited lives!  Who has that kind of time to spend on a game?  It would also be nice to be able to buy just a single extra move, rather than always five, and for such a ridiculous amount.  You would have to win 18 regular game levels to earn enough coins to pay for those five moves, which is also the same amount of coins it costs to buy an additional five lives.","Fun game, but I wish I could change a couple things",Verified Purchase,14 people found this helpful,98,22,Public,1874877
Tracy Nordstrom,/gp/profile/amzn1.account.AHJJVTSQ6J43RWF7U7PMPQTHPBSQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 9, 2017",0,,https://www.amazon.com/Playrix-Homescapes/product-reviews/B0739V781Z/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,4.0 out of 5 stars,Fun but some levels are very difficult.,Another fun one from Playrix,Verified Purchase,4 people found this helpful,10,5,Public,37692881
Slade Byrd,/gp/profile/amzn1.account.AFY7ZAVWKDLXGVUXHJMNO3MTR5MA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 19, 2018",0,,https://www.amazon.com/Playrix-Homescapes/product-reviews/B0739V781Z/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,Really fun to play,Great game,Verified Purchase,5 people found this helpful,9,1,Public,58490702
asher,/gp/profile/amzn1.account.AG2DBWOXLN7FQXQIKUODPQKYTYWA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 6, 2018",0,,https://www.amazon.com/Playrix-Homescapes/product-reviews/B0739V781Z/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,5.0 out of 5 stars,This game is good fun. They obviously want you to buy coins but it is fun even if you don't buy coins.,Fun game,Verified Purchase,3 people found this helpful,6,3,Public,32971474
annedre,/gp/profile/amzn1.account.AHB7U5IR4R2RZSUA5TRR2KO6JRTA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 22, 2017",0,,https://www.amazon.com/Playrix-Homescapes/product-reviews/B0739V781Z/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,5.0 out of 5 stars,Good game. Very motivating. Graphics are exceptional.Good interior layout ideas for homes.,exceptional!,Verified Purchase,13 people found this helpful,17,2,Public,39125201
Amy Baumgartner,/gp/profile/amzn1.account.AEXF2BSLKPS5DJBOMX6UMIX36O6A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 6, 2017",0,,https://www.amazon.com/Playrix-Homescapes/product-reviews/B0739V781Z/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,4.0 out of 5 stars,Its a good game to pass time,Addicting,Verified Purchase,5 people found this helpful,8,1,Public,80711298
SB,/gp/profile/amzn1.account.AEV2XTR7G4V5YHEZY472FOK5EYIQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 15, 2018",0,,https://www.amazon.com/Playrix-Homescapes/product-reviews/B0739V781Z/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,5.0 out of 5 stars,I really love this game I started playing homescapes on Facebook and when I heard of this game I thought I'd give it a trty and I'm really glad I did its so much fyn to play! I really hope other people will enjoy this game as much as I do! 😉,My Review,Verified Purchase,8 people found this helpful,280,9,Public,4240837
Amazon Customer,/gp/profile/amzn1.account.AEEBC623ZGILK6MEBE5UQYJ6TOOA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 14, 2017",0,,https://www.amazon.com/Playrix-Homescapes/product-reviews/B0739V781Z/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,5.0 out of 5 stars,Very fun and additive game,Five Stars,Verified Purchase,13 people found this helpful,18,4,Public,41461819
Dorenda A. Heather,/gp/profile/amzn1.account.AFVCMP2SDYYBW3K7IT55GLKQLYIA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 28, 2017",0,,https://www.amazon.com/Playrix-Homescapes/product-reviews/B0739V781Z/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,5.0 out of 5 stars,"I like this game very much. I like decorating and building virtual rooms, towns, cities, etc.I also have the Gardenscapes which I enjoy, so I was very happy when this game was available.",I like this game very much,Verified Purchase,5 people found this helpful,211,149,Public,1388638
acpd,/gp/profile/amzn1.account.AGTRFP3LBFZB25XZ4DTHJSQHCTRA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 6, 2021",0,,https://www.amazon.com/Playrix-Homescapes/product-reviews/B0739V781Z/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,3.0 out of 5 stars,Not that interesting,So So Game,Verified Purchase,,33,27,Public,2529149
Nick Padilla,/gp/profile/amzn1.account.AEOVOTL6N32CYPQSR4BQYC4VNTWQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 8, 2019",0,,https://www.amazon.com/Playrix-Homescapes/product-reviews/B0739V781Z/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,5.0 out of 5 stars,Fun and entertaining,Entertaining,Verified Purchase,8 people found this helpful,47,12,Public,82838100
Nancy Taylor,/gp/profile/amzn1.account.AHSRK6TYUA54PJIHOPT6DOLMOAUQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 8, 2018",0,,https://www.amazon.com/Playrix-Homescapes/product-reviews/B0739V781Z/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,4.0 out of 5 stars,Challenging but solvable.,Nancy Marlene,Verified Purchase,2 people found this helpful,3,8,Public,34569479
H. J. Gardner,/gp/profile/amzn1.account.AGW4SA2W66L2CFLTYTGGQ7HAPH7Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 28, 2018",0,,https://www.amazon.com/Playrix-Homescapes/product-reviews/B0739V781Z/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews,5.0 out of 5 stars,The game is great,Homescapes,Verified Purchase,3 people found this helpful,27,3,Public,27057133
Lyn,/gp/profile/amzn1.account.AH3MIRPJ5D36XUPMTSCQ5BOYOXPQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 12, 2018",0,,https://www.amazon.com/Playrix-Homescapes/product-reviews/B0739V781Z/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,5.0 out of 5 stars,"East, relaxing!",Pretty Addicting,Verified Purchase,2 people found this helpful,8,8,Public,45035513
Marianne C.,/gp/profile/amzn1.account.AGRTU4DI6ENTYCYRTQR665EEYCVQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 19, 2019",0,,https://www.amazon.com/Playrix-Homescapes/product-reviews/B0739V781Z/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,5.0 out of 5 stars,Lots of fun and enjoyable watching Austin interact with his parents.,Fun!,Verified Purchase,13 people found this helpful,19,11,Public,4608689
Molly Tennis,/gp/profile/amzn1.account.AEVEEMSZVGN4YRY7NGMVSBTNQPVA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 5, 2021",0,,https://www.amazon.com/Playrix-Homescapes/product-reviews/B0739V781Z/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,4.0 out of 5 stars,You get a dog if you beet lots of levels,I love this game,Verified Purchase,One person found this helpful,4,4,Public,55249652
Joanne Rubio,/gp/profile/amzn1.account.AF64ICLTTBYSGCBQG4KLW2DB2HWQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 14, 2018",0,,https://www.amazon.com/Playrix-Homescapes/product-reviews/B0739V781Z/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,5.0 out of 5 stars,"Love this game. Sometimes you get stuck on a level,but that's we're the challenge is.",Amazing!!,Verified Purchase,2 people found this helpful,17,3,Public,14173947
Charlie Gibble,/gp/profile/amzn1.account.AGCRZWCBYWRU7EW7LXDUAT6QRUBA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 26, 2019",0,,https://www.amazon.com/Playrix-Homescapes/product-reviews/B0739V781Z/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,5.0 out of 5 stars,"Easy to learn, fun to play. We play this game in teams. Arrived in perfect condition.","Fun, and easy game to play.",Verified Purchase,12 people found this helpful,19,42,Public,3483166
Kindle Customer,/gp/profile/amzn1.account.AE2XJIZEI57IK7ABOEXQ5XD3UYDQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 20, 2018",0,,https://www.amazon.com/Playrix-Homescapes/product-reviews/B0739V781Z/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,5.0 out of 5 stars,Fun game great way to pass the time,FUN,Verified Purchase,2 people found this helpful,11,7,Public,54693292
70,/gp/profile/amzn1.account.AFD6ZYXZZQPSQWDZVIE6WCZVHGNA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 20, 2018",0,,https://www.amazon.com/Playrix-Homescapes/product-reviews/B0739V781Z/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,5.0 out of 5 stars,I love this game....I can't quit playing it!!😀,Favorite games!!,Verified Purchase,2 people found this helpful,5,6,Public,51304085
Hannah,/gp/profile/amzn1.account.AFNHJVFFIW4SVAJNMWG5MWCWPIVQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 28, 2018",0,,https://www.amazon.com/Playrix-Homescapes/product-reviews/B0739V781Z/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,4.0 out of 5 stars,Wish it would let you choose which area to work on.,It made make a title,Verified Purchase,4 people found this helpful,5,1,Public,54367778
A. Lauritzen,/gp/profile/amzn1.account.AENZVEZWV7O67UBJMLA5L3RFXI6A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 17, 2017",0,,https://www.amazon.com/Playrix-Homescapes/product-reviews/B0739V781Z/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,4.0 out of 5 stars,"A little slow, but fun.",Fun!,Verified Purchase,7 people found this helpful,86,93,Public,5809391
