badges,page_url,ranking
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AE33SA2RNIUEZF7CB5VZWONQG2QQ/?view=visitor,12703
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AFKNI2C4FCI6Z4PSDDMANQVDNDRQ/?view=visitor,1172137
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AF2O6VRRDBCJQXV5MTQSYZXPKDVA/?view=visitor,1743675
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AEZ4ZNA4OMLMAFXW3HT2W3FM7DSA/?view=visitor,13233
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AFEGQZKIATY3GRKDNXF233TI5SQQ/?view=visitor,1164807
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AFXONTGMM4BMOKYPWMXSUVXDX2NA/?view=visitor,73616
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AF22KCHSOMQWISZNQH226W3V5J4A/?view=visitor,373819
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AGU3G3JWICUJP7EGBGIWOYCEVYYA/?view=visitor,91183
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AGAZYSC5YCDF4EGHPPOM2SVZ2OMQ/?view=visitor,1885918
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AFGGH3SAH4QT2FLDWFPIABRB6MFQ/?view=visitor,238882
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AEYVCNPCUMJ7U6BXPWR6X5VFVE3A/?view=visitor,84430811
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AHXHRQMCT6OL6OSFQQ3ZUG36NW2A/?view=visitor,6684717
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AGFRINX4BFR4IHH6AS3CBOGG3BBA/?view=visitor,225442
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AG5YFB5EJ6AFKUDVMEQLETW2XARQ/?view=visitor,17807
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AHLJIE65OOTNN7X7MDAHTVE4NL2Q/?view=visitor,280419
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AETBBONWUNAUWBSZCHLEGVUKWEZA/?view=visitor,1825425
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AGCEOABB3XGBWOK7NOH3LMO3UQ6A/?view=visitor,1555850
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AFTFFFKMNTATHL6EQ5CJXY4KNYDQ/?view=visitor,2029
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AF76GKOGZJUFFMLECX6BGS4GEV7Q/?view=visitor,3264644
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AH5US3ME2DUYMYCR6AYEDRSXIIXQ/?view=visitor,2400057
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AHSPBTQITO7S2XCVECUQF2ZZL5WA/?view=visitor,161515
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AGZKU62E3QIEPHV7CADBDTRDFPBQ/?view=visitor,99973
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AE3Y55MLVRQ654YF6VJCAYTGDL6Q/?view=visitor,123196
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AH5FWQFZL54B7GUUNAS36S73CO7Q/?view=visitor,3538720
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AEPH725HSN3J3XTQMR5USFJR74PQ/?view=visitor,226450
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AHZCETXBURREGLMZO27GLU5IW7RQ/?view=visitor,2776842
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AE3UUZZ6RJFMRFI72A6LWZHZYA2Q/?view=visitor,1653404
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AGGNVS6MEYUQLEDH7CKRU4PIV4XQ/?view=visitor,9642643
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AGLQEQFB4WZU7FAKMTVIGW4ZTEGQ/?view=visitor,748281
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AFDUCO6TZMBRN5SUMZ6YIDSK6LSQ/?view=visitor,100271
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AFGK545HVBNGAUJGJN2WW4FDCONQ/?view=visitor,88611
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AG3RKHUQTSKA5R22BJ5A5EJJHXTQ/?view=visitor,2854304
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AF5TMDSICVEZCDQS5OGAHKSRF34Q/?view=visitor,83959026
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AGVDEQZDIRDVIYTDVMXWCJ3EVP5A/?view=visitor,805033
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AGD3P5HF7G5LJWFJEKCHYIETRDWQ/?view=visitor,84012517
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AFBJPLCYMAZV5YRRYQYAUI2XR3PA/?view=visitor,6368604
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AESPFWNUHN4G246P5CIB4BE5F7RQ/?view=visitor,117599
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AGPGOFTP7FAJM6RH4GC3KX6FUHYQ/?view=visitor,4121489
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AHVJIBBDMPN6YOSHS4UMLW3FNCMQ/?view=visitor,823654
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AEF6R5JDKHBZMM6SHMZKOLMEKLGA/?view=visitor,354599
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AGJUT2TGCNCJHQGEADU6ZYYBFLBA/?view=visitor,5674678
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AHCIESXPSEKKYYM2N5HJHODS4VOQ/?view=visitor,27387823
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AGECKYO3BX6CGYCNRYRB2X3ZR3JQ/?view=visitor,294794
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AH5B6DRUD37PC6XIVSWEH5QV3JSA/?view=visitor,3402238
