badges,page_url,ranking
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AFQ5THHUZDDGZ4LO73GVJQYD74LA/?view=visitor,291725
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AHI6IDBCHUWUTMB7O2J4SONHJR3Q/?view=visitor,1042
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AFHQOSIOXCLQRI66BAN5ZVOVGKDQ/?view=visitor,686652
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AE3IQCU2IRY2O3AM75EFJNWRMV7Q/?view=visitor,45859
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AFUWKX7D5XF4UMVTNCQBYZEN365Q/?view=visitor,4216276
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AHR5JNPJUVEKFVATH3QGGW7YWMJQ/?view=visitor,142299
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AEJNNVZK2DE66CE3WM2YCALAPKZQ/?view=visitor,1359043
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AHRYTBUGFIU6USFGFMYTVUEIND3A/?view=visitor,138593
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AFKZ5XIR3MCFNB727HCQUEB3C7OQ/?view=visitor,325979
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AHWX3PW33IBXJ46YBK7TCTAZWCLQ/?view=visitor,15576671
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AEU6BOI26T7BIQQCTYR7B2SK3KMA/?view=visitor,1043046
True,https://www.amazon.com/profilewidget/bio/amzn1.account.AGVFWDRT7XD4BFXAKJG3UOAQHZHA/?view=visitor,2183355
