comments,date_of_review,rating,review,reviewer,title,verified_review,votes
,"Reviewed in the United States on 29 November 2018,Reviewed in the United Kingdom on 9 October 2019,Reviewed in the United States on 29 October 2018,Reviewed in Australia on 21 August 2019,Reviewed in France on 2 September 2020",,",,,,,A fuir absolument ! La coque s'est cassé sur le côté deux jours après l'avoir utilisée alors que le téléphone n'a pas eu de choque et n'est pas tombé. De l'argent jeté par les fenêtres !","Nathan Goh,Charanjeet,Sarah K.,Jen,Amandine","Good case for the killer price,Faulty..?,Great product!,Perfect for everyday,à fuir !","Verified Purchase,Verified Purchase,Verified Purchase,Verified Purchase,Verified Purchase","504 people found this helpful,276 people found this helpful"
,"Reviewed in India on 20 March 2020,Reviewed in India on 27 December 2019,Reviewed in India on 29 February 2020,Reviewed in India on 26 January 2020,Reviewed in India on 15 April 2020,Reviewed in India on 25 December 2019,Reviewed in India on 4 March 2020,Reviewed in India on 4 March 2020,Reviewed in the United Kingdom on 20 May 2020,Reviewed in Canada on 15 August 2020,Reviewed in the United Kingdom on 1 November 2019,Reviewed in the United Kingdom on 27 May 2020,Reviewed in the United Kingdom on 31 December 2019",,",,,,,,,,,,,,","BooBoo,danish,Prachita Garodia,VikSpark,BunT,Gautam,Amazon Customer,Amazon Customer,Adrian,Dan Kazymerchyk,Steve,Mr S F Taylor,Peapod","Don’t waste your time and money,Robust,Awesome,Solid,Just wat I needed!!,OTTERBOX is great...👌🏼,Nice product,Sturdy cover,Worst iPhone Case I have ever owned...,Bulky case with no protection,The best tough quality case,BRICK,Does its job very well...","Verified Purchase,Verified Purchase,Verified Purchase,Verified Purchase,Verified Purchase,Verified Purchase,Verified Purchase,Verified Purchase,Verified Purchase,Verified Purchase,Verified Purchase,Verified Purchase,Verified Purchase","7 people found this helpful,16 people found this helpful,2 people found this helpful,2 people found this helpful,One person found this helpful"
,"Reviewed in India on 3 October 2019,Reviewed in India on 9 October 2019,Reviewed in India on 23 November 2019,Reviewed in India on 10 November 2019,Reviewed in India on 3 October 2019,Reviewed in India on 9 March 2020,Reviewed in India on 7 June 2020,Reviewed in India on 8 February 2020,Reviewed in Spain on 22 September 2019,Reviewed in the United Kingdom on 21 September 2019,Reviewed in the United Kingdom on 26 February 2020,Reviewed in Spain on 21 September 2019,Reviewed in Germany on 7 January 2020",,",,,,,,,,,,,Con todos los iPhones que he tenido siempre he comprado las fundas de Spigen porque considero que son las que más protegen el móvil. Una vez puestas se ajustan perfectamente al móvil y la sensación de robustez es grande. Sin lugar a dudas las recomiendo. Ahí os dejo 2 fotos de cómo ha quedado mi nuevo iPhone 11 con la funda que me acaba de llegar.,,,,Encaja perfectamente en los nuevos iPhone 11. Pensaba que iba a ser más fina y resistente pero la verdad es que es suficientemente robusta sin abultar, protegiendo el móvil perfectamente. Recomendable,,Zunächst war ich mit der Hülle sehr zufrieden. Das änderte sich leider schneller als gedacht. Nach ca. 4-5 Wochen Benutzung vergilbte die Hülle stark. Leider ist sie nun sehr unansehnlich… schade! Auch wenn der Schutz und die Passform gut sind, kann ich so leider nicht mehr als 2 Sterne geben.","Prasanti Panda,Soukarya Nandi,Sumit,Anshu K.,Monishankar,Sanjiv Malhotra,Atul K.,Yatendra Kumar,Jose Luis Sanchez,GB Dasig,Samantha,Reyes V.,Ms_He","Fake Product,The perfect case,Bought a Spigen for Red iPhone 11,Gets slippery & needs to be regularly cleaned,Duplicate Product,EVEN SPIGEN CASES TURN YELLOW,Sturdy product for iPhone 11. # Non China,Worth the money-little pricy though,Protección Máxima,Excellent clear case for the Iphone11,A sturdy clear cover for your iPhone 11, great value,Encaja perfecto en el iPhone 11,Vergilbt leider innerhalb kurzer Zeit.","
Compare with similar items,Verified Purchase,Verified Purchase,Verified Purchase,Verified Purchase,Verified Purchase,Verified Purchase,Verified Purchase,Verified Purchase,Verified Purchase,Verified Purchase,Verified Purchase,Verified Purchase,Verified Purchase","59 people found this helpful,35 people found this helpful,11 people found this helpful,9 people found this helpful,15 people found this helpful,7 people found this helpful,4 people found this helpful,2 people found this helpful,192 people found this helpful,52 people found this helpful,33 people found this helpful,72 people found this helpful,54 people found this helpful"
,"Reviewed in the United States on 29 November 2018,Reviewed in the United Kingdom on 9 October 2019,Reviewed in the United States on 29 October 2018,Reviewed in Australia on 21 August 2019,Reviewed in France on 2 September 2020",,",,,,,A fuir absolument ! La coque s'est cassé sur le côté deux jours après l'avoir utilisée alors que le téléphone n'a pas eu de choque et n'est pas tombé. De l'argent jeté par les fenêtres !","Nathan Goh,Charanjeet,Sarah K.,Jen,Amandine","Good case for the killer price,Faulty..?,Great product!,Perfect for everyday,à fuir !","Verified Purchase,Verified Purchase,Verified Purchase,Verified Purchase,Verified Purchase","504 people found this helpful,276 people found this helpful"
