author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful,helpful_votes,total_review,visibility_status,ranking
The_Magician,amzn1.account.AG5EJLTRQRB6DM5YBH2YW3JFRS5A,"Reviewed in the United States on November 8, 2018",0,,https://www.amazon.com/Minecraft-Nintendo-Switch/product-reviews/B07D13QGXM/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,1.0 out of 5 stars,"I purchased 2 copies of this version of Minecraft to play with my son who lives in another state. After having trouble figuring out how Minecraft was going to work under the Nintendo Online system I went ahead and bought two versions and started fiddling with it. That's when I noticed how poor the system works with 2 big problems.1. The game in theory, will let people (each with their own Nintendo Online account) to play together without using Microsoft Realms. I thought this would be a godsend, but it seems Nintendo hasn't done a great job aligning the features and my son soon realized that you can create a new world and both of us can play on it, but when we log out he can no longer join that server. Doesn't matter if I make the server/world, or if he does, you seem to only get 1 play out of it. I looked at NAT types, I've tried port forwarding, and slew of other things. Nintendo/Mojang support is not helpful either with this problem apparently plaguing other users.2. The game itself is very buggy considering how it seems Nintendo Online handle latency and other issues. I found myself disconnected on a few occasions, or situations where I could no longer see my son's avatar even though he was right in front of me (I witnessed this over facetime). Other issues like landscape (FOV) not appearing seem pretty common in multiplayer.The singleplayer is fine and the controls once you get used to them work great, but the primary reason I got 2 copies of this was so I could play online and that feature is doesn't work. If the problem can be resolved I'll change my review.Update: 6+ months later and the Nintendo Online feature still does the same thing and I've had to continue paying for a microsoft realm for us to both play on.",Nintendo Switch Online Doesn't Work,Verified Purchase,210 people found this helpful,261,11,Public,3112125.0
Fluttergirl,amzn1.account.AHQXDHMIGRO5KKIVHBVJJA6YMMRQ,"Reviewed in the United States on August 2, 2018",0,,https://www.amazon.com/Minecraft-Nintendo-Switch/product-reviews/B07D13QGXM/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,5.0 out of 5 stars,"It's Minecraft. On a new platform. I mean, we have it on our computer, the PS3, the PS4, the Vita, and on our phones. Why not start over yet again? My teenager told me that there are all new updates to be had on the Switch. Mother of God, will it ever end??",Even more Minecraft!,Verified Purchase,202 people found this helpful,209,10,Public,1649705.0
AVAEMPIRE,amzn1.account.AGQ22LX6AG4JXHRO6KQZ7X5LVBZA,"Reviewed in the United States on July 17, 2018",0,,https://www.amazon.com/Minecraft-Nintendo-Switch/product-reviews/B07D13QGXM/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,5.0 out of 5 stars,"Not much to say. Minecraft is a great game. You just get the case and the game inside, but I buy physical anytime I have that option. Long live physical media!","I bought minecraft again, this time for my switch",Verified Purchase,166 people found this helpful,738,288,Public,40197.0
Jonathan Adams,amzn1.account.AEIUXZK5KXRUWRQN5Q6MMC2XHMBQ,"Reviewed in the United States on October 5, 2018",0,,https://www.amazon.com/Minecraft-Nintendo-Switch/product-reviews/B07D13QGXM/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,5.0 out of 5 stars,"We play ALOT of Minecraft in our house I received the game in the mail in two days the packaging and the game itself were in perfect condition. The packaging did not even appear abused or scuffed up.Now to dig into the gameplay starting with the badThe Bad: A little awkward to play because of controller set up, and even that is just more of an inconvenience because you will quickly get more comfortable with the set up after just a few minutes.The Good: It came with Super Mario skins and graphics already downloaded and the child in me shrieked with joy at all the Mario items. With the new aquatic additions the game just keeps getting more and more funIf you've never played minecraft I highly recommend it.All three of my children love playing it and can play it for hours non-stop and the things they can create even blow me away. This game has really expanded their creativity. My middle daughter has pretty severe ADD but when she plays minecraft she is in a league of her own its just natural talent",Its Minecraft,Verified Purchase,125 people found this helpful,157,72,Public,306387.0
Johnny,amzn1.account.AGSHNHYUA25BTQIY4QBPDDBPLQZA,"Reviewed in the United States on August 8, 2018",0,,https://www.amazon.com/Minecraft-Nintendo-Switch/product-reviews/B07D13QGXM/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,5.0 out of 5 stars,"Great game, have it all on systems and pc and it's just a great game to have. The nintendo switch version gave me the Mario mash pack, giving you different character costumes to be, like bowser, mario, etc... if you love Mario and minecraft, then you'll sure love both of them combined.",Mario + Minecraft= Mariocraft,Verified Purchase,66 people found this helpful,90,16,Public,2771404.0
Mashuu,amzn1.account.AGUECOURI3BG2E4FNJ6CHDY7SVKA,"Reviewed in the United States on August 2, 2018",0,,https://www.amazon.com/Minecraft-Nintendo-Switch/product-reviews/B07D13QGXM/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,5.0 out of 5 stars,I'm impressed with this version running on the Switch in both TV and Portable mode. I never owned it on the Wii U and I always did for the Mario packs but decided to wait as I have Minecraft everywhere else for my nephew. We play Cross Play from Switch to Xbox One and it's great. The Mario theme stuff does not work cross play which is understandable. It's really cool as well that I can play with him online with packs he bought on his xbox. I also enjoy that you can use the joy cons separately though I prefer using my Pro Controller and bought him a separate Hori controller (that works extremely well) for local play. Even after all these years it's still pretty fun to go around the world of Minecraft.Highly recommended!,Cross Play works great!,Verified Purchase,46 people found this helpful,510,129,Public,130472.0
Matt,amzn1.account.AGLWKERJM5LBE2HSQAXWHNPRC3UA,"Reviewed in the United States on June 29, 2018",0,,https://www.amazon.com/Minecraft-Nintendo-Switch/product-reviews/B07D13QGXM/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,5.0 out of 5 stars,Love my new physical copies of games and it’s always good to have a classic,Physical is the way to go,Verified Purchase,43 people found this helpful,52,19,Public,3238205.0
deb norsworthy,amzn1.account.AHAPSRJUTJRX27NV6YHDA53M75ZA,"Reviewed in the United States on April 28, 2019",2,,https://www.amazon.com/Minecraft-Nintendo-Switch/product-reviews/B07D13QGXM/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,5.0 out of 5 stars,I must have for people who have the switch.,Great for Builders,Verified Purchase,32 people found this helpful,40,13,Public,4213229.0
Taylor,amzn1.account.AELF5CBEMEQN4DF6MVZULICGUPHQ,"Reviewed in the United States on February 3, 2020",2,,https://www.amazon.com/Minecraft-Nintendo-Switch/product-reviews/B07D13QGXM/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,1.0 out of 5 stars,"Okay so I know I love the game, because I've only had it on every console. But this version for switch does not work. Not sure why, I tried everything. It would just say error and close the app. I returned it.",Does not work,Verified Purchase,18 people found this helpful,50,55,Public,1184967.0
Bearded Tech Guy,amzn1.account.AELQNL4Y2RHIEUXWG2VS2UKOC42Q,"Reviewed in the United States on May 30, 2019",0,,https://www.amazon.com/Minecraft-Nintendo-Switch/product-reviews/B07D13QGXM/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,1.0 out of 5 stars,Microsoft forces you to register an account to your game in order to play. In order to register you have to have a Microsoft account. In order to have a Microsoft account you have to give them your phone number for..... reasons??If this game was free then I would understand the need to harvest my data to sell off but I paid for this game so having to give off personal information to be able to play is ridiculous.If you don't like invasion of privacy stay away apparently.... What a disappointment.,Why do you need my phone number for me to play a game I paid for??,Verified Purchase,13 people found this helpful,108,157,Public,240394.0
