author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful,helpful_votes,total_review,visibility_status,ranking
Mr Diggie,amzn1.account.AGL4JWGXXWZ3XZMCSFAFFN5PEZLQ,"Reviewed in the United States on August 18, 2019",0,,https://www.amazon.com/LEGO-DC-Super-Villains-Nintendo-Switch/product-reviews/B07DFDNMYQ/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,3.0 out of 5 stars,"This game has a lot of characters that you can change between, but whereas Lego City Undercover had a clear evolving storyline with a main character, this one is completely hectic with characters and abilities swapping in and out every other scene, mechanics that aren't always clear, especially in the beginning, as well as an assumption that you are already familiar with all of the characters' personalities instead of them seeing any kind of development.If you are an adult DC fan this game is probably great. I bought it following in the footsteps of Lego City Undercover (great game) for my young daughter, and I would say that while she got through it, it was a bit of a mess.",A bit too hectic for younger kids,Platform: Nintendo SwitchEdition: StandardVerified Purchase,39 people found this helpful,581,246,Public,33407.0
audra smith,amzn1.account.AEJOWTKNTUBFMO5DGOS5KMDFEDOQ,"Reviewed in the United States on March 14, 2019",0,,https://www.amazon.com/LEGO-DC-Super-Villains-Nintendo-Switch/product-reviews/B07DFDNMYQ/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,5.0 out of 5 stars,"A way better gaming experience than I expected. I wasn't sure what the villians storyline would have been about especially after being disappointed by Marvel heroes 2. But this was definitely a redemption.It felt more in-depth dispite being a Lego game. But you can appreciate what it is. A good game about villians and even badder villians lol. I loved seeing how they used characters such as Harley Quinn, joker, poison ivy and anyone else you can think of, even the back in the day justice league bad guys.I would recommend, as pick up on a good deal.",More than I could have bargained for!,Platform: Nintendo SwitchEdition: StandardVerified Purchase,30 people found this helpful,430,61,Public,254625.0
Matt Lockhart,amzn1.account.AFRZ7UOO3KZ2WDB7477WZB5NNDPQ,"Reviewed in the United States on March 29, 2019",0,,https://www.amazon.com/LEGO-DC-Super-Villains-Nintendo-Switch/product-reviews/B07DFDNMYQ/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,5.0 out of 5 stars,"I have to say I am a 35 y/o man who like many of us grew up with NES/Atari/Master System etc. I play the LEGO games for both the story as well as the sense of satisfaction. I love other LEGO games, but this one built off its own narrative and not a movie or TV show is brilliant. It includes all the joys of other LEGO games with an all new story by the creators. 5* (stars)",A LEGO game with unknown plot,Platform: Nintendo SwitchEdition: StandardVerified Purchase,30 people found this helpful,54,18,Public,2237062.0
Amazon Customer,amzn1.account.AFMMI23U2LQAVOCJTVJ2FF27GFQQ,"Reviewed in the United States on January 15, 2019",0,,https://www.amazon.com/LEGO-DC-Super-Villains-Nintendo-Switch/product-reviews/B07DFDNMYQ/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,5.0 out of 5 stars,"I'm pleasantly surprised how wonderful this game is. The characters and story are so well thought out and the game play is astounding. It's 'easy' and in ways 'for children' but also not that easy at all! I'm not a big gamer, at all... was when I was a teenager, but I have been completely sucked into this game! Just flying around the city is such a fantasy pleasure! lol",MOST ENGAGING VIDEO GAME FOR NON-VIDEO GAMERS,Platform: Nintendo SwitchEdition: StandardVerified Purchase,24 people found this helpful,128,16,Public,2307201.0
Lydiar R,amzn1.account.AFQSND7QTGK36SHUNO7ZCROYF53Q,"Reviewed in the United States on December 27, 2018",0,,https://www.amazon.com/LEGO-DC-Super-Villains-Nintendo-Switch/product-reviews/B07DFDNMYQ/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,3.0 out of 5 stars,"The bright colors in this game hurt my eyes after awhile so it limits me on play time. Which isn’t bad I suppose in the long run.  The curser when choosing to customize your Lego villain is hard to see. If you like a challenge this will give it to you! Since this isn’t based off of a movie (at least by what we can tell) you don’t know what’s coming next or what exactly to look for. So that is different not necessarily in a bad way, it just makes it more challenging.  I have a young kid who I don’t allow to play really violent games this legit game is sorta violent compared to others. I know it’s a “villain” game but my kiddo doesn’t understand Harley and poison ivy are real villains. If you like a","I like it, but I’ve got some small issues",Platform: Nintendo SwitchEdition: StandardVerified Purchase,16 people found this helpful,92,54,Public,728845.0
Justin,amzn1.account.AFGIJIG55TWV2AVFAWCZLN2TAOPQ,"Reviewed in the United States on January 31, 2019",0,,https://www.amazon.com/LEGO-DC-Super-Villains-Nintendo-Switch/product-reviews/B07DFDNMYQ/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,5.0 out of 5 stars,"Beating the main story is just the beginningWith all the characters to unlock with all the side missions/challenges, my son plays for hours and does not get bored.It is his current favorite out of about 20 switch games",Great open world game,Platform: Nintendo SwitchEdition: StandardVerified Purchase,19 people found this helpful,174,47,Public,1665260.0
The Consumer's Voice,amzn1.account.AGK52TZVBCETOPKHOANIY2O4OJGQ,"Reviewed in the United States on May 9, 2019",0,,https://www.amazon.com/LEGO-DC-Super-Villains-Nintendo-Switch/product-reviews/B07DFDNMYQ/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,1.0 out of 5 stars,"I don't know what's wrong, but you can try to move your character a lot of the time and either it freezes in place, you can't move, and it's showing the running animation, and then sometimes it will let you move but you're just moving around a standing character that doesn't animate at all.It feels like this game was released unfinished, and I even downloaded the most recent update for it before playing, too.  Not a fun experience and really don't have any desire to play it again after the first day.",Game is glitchy.,Platform: Nintendo SwitchEdition: StandardVerified Purchase,12 people found this helpful,"1,187",339,Public,16618.0
Laura0806,amzn1.account.AHDIHVSGTMGTAVWY7UABWZGJNAKA,"Reviewed in the United States on December 29, 2019",0,,https://www.amazon.com/LEGO-DC-Super-Villains-Nintendo-Switch/product-reviews/B07DFDNMYQ/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,4.0 out of 5 stars,"My kids (3 and5) are obsessed with LEGO, Villains, and the Switch, so this was a no brainier.  Its priced lower than marquee games which was a bonus as well.The game-play was fun, and my kids were thrilled with all the characters and story line, and were fine even just watching the game play.  It has a LEGO movie vibe which was great.My only gripe, hence the 4 instead of 5 stars, is that it's really close to being a high quality 5 star game!! There are annoying and frequent text overlays, akin to the classic ""50 cents for player 2"" arcade games, and the biggest sin of all, reqesting a REVIEW ONLINE for cheat codes.  It knocks the game down to amateur status immediately.Overall, i'd recommend it for kids. They'll have fun and it's not much more than a DVD price wise, but it was close to being something really cool which i felt was a shame.","Fun game for kids, but annoying overlays make it look like a cheap arcade game!",Platform: Nintendo SwitchEdition: StandardVerified Purchase,4 people found this helpful,"4,830","1,662",Public,541.0
Jane,amzn1.account.AEAJD7EFNYHFCVQXLVWQCHQLHFDQ,"Reviewed in the United States on March 9, 2020",0,,https://www.amazon.com/LEGO-DC-Super-Villains-Nintendo-Switch/product-reviews/B07DFDNMYQ/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,4.0 out of 5 stars,"A way better gaming experience than I expected. I wasn't sure what the DC villains game would have been like especially after being disappointed by Marvel heroes 2. But this was definitely a redemption.Probably the best Lego villain game since Lego Batman 2 ,I loved seeing how they used characters such as Harley ad poison ivy as well as the bad justice league heroes. The big drawback is that the lego, like many recent releases, still doesn't have dynamic split screen which makes partner play a lot harder and makes some of the scene literally impossible to see with 2 players.WB sells the game for a good price and has quick shipping. I'd recommend buying it here as that's the best deal out there right now.",Great Lego Game,Platform: Nintendo SwitchEdition: StandardVerified Purchase,One person found this helpful,6,20,Public,4967299.0
"great game, acuslly too fun.I got things to do!!",amzn1.account.AFQBGQZTQSTM4VC45G3BY4Q576CQ,"Reviewed in the United States on December 12, 2018",0,,https://www.amazon.com/LEGO-DC-Super-Villains-Nintendo-Switch/product-reviews/B07DFDNMYQ/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=1,5.0 out of 5 stars,I liked the fact that it keeps the kids busy during the day when it is electronics time.,My grandson loves this game,Platform: Nintendo SwitchEdition: StandardVerified Purchase,4 people found this helpful,21,34,Public,5106412.0
