ids,ranking
amzn1.account.AHXDZ3V3EKVBG5KWV32XZR7XJECA/,1596157
amzn1.account.AGZF75QEAE6ENS4DJ6U4HG7BQ7YQ/,317947
amzn1.account.AHB6DDPJ4733ZDRHOJLMCUJV4PFA/,222973
amzn1.account.AFYJ4IOO3W7QPSGDR2TRG62JFKSA/,2791453
amzn1.account.AG6IOY2N3N4N5HG5RLP5DYOW73LA/,2022894
amzn1.account.AGFGXCQD7RBXZNNHVQZC73PDIILA/,1142512
amzn1.account.AEZK47GEC3222F6DEY2FYKBZFKHQ/,3256436
,
amzn1.account.AEHOAF4N25ELXT3AUA5KV2N4NE7A/,871842
amzn1.account.AEEO3RT6NL3JLNEDKHAE66IKTFRQ/,8365
amzn1.account.AFIE267VGWEM6FKKE7HAJDXP64PQ/,1863062
amzn1.account.AHQYBCL5XNC44CDK5GPJXEG4N6UA/,342837
amzn1.account.AHB5FBV2SLZ7P7DHRSQZ767ZOP3Q/,138122
amzn1.account.AGOKVRYHTAFNFNS7QQSZYBN5ES2A/,232184
amzn1.account.AFPFX4O34OUEVBDRLH2UUHI3NOUA/,454963
amzn1.account.AG6HPFIMK72TQETDYLRA2I44FIJQ/,58007
amzn1.account.AHHERZEJDDVPWZKN3FBRILRCVUSA/,241734
amzn1.account.AENJJPD3HQI2Y7XYNS4R6UAFFWDA/,2928726
amzn1.account.AF5JJZ3DFR37CRP7LKAKQZYQEUCQ/,760857
amzn1.account.AEM2N7LH3ZH4OXT3STRC2XL2PGSQ/,503985
amzn1.account.AFIE3IVEO2ULPZWQEG4P3IMYJP6A/,7657
amzn1.account.AHYNZP462IC6KE5GRIHLNSOQHJPA/,2962405
amzn1.account.AF67FAACFYQCD7V7KEUZZJOG6LHQ/,395258
amzn1.account.AE7JTZR2I5G5WNTVFNBFQSQ6JEVA/,131460
amzn1.account.AH4ZRWYGROGCH3TXMNEZZJN3W7QQ/,2105964
amzn1.account.AHGELTKIDV7R3HRK4PROUGIC7O2A/,456912
amzn1.account.AG2G6ZXW7XPSXNDGZVOPLLKVATCQ/,198
amzn1.account.AFKEGGS5T32QDA77OZDN7K4P77XA/,106116
amzn1.account.AGOI4OKNNE2YONSFQZBEAX5FVCYA/,718745
amzn1.account.AFX6DYWC5QWBI4O46B6DTNHXPBLQ/,4350253
amzn1.account.AEFXTJV7IFSCYC6KIPSORHOGT43A/,6229869
amzn1.account.AEXF7GKLG4EUVFVKO6DZDYGHNOSA/,309148
amzn1.account.AFBFSWLYGDL4EPU4RCKMQDPJMG5A/,65772
amzn1.account.AG4Z72JWDTLWSZU7ZVMONQEMACUQ/,12208923
amzn1.account.AFHNSQGD7VQPZAHCWTX6LYKGPIKQ/,172587
