ids,ranking
amzn1.account.AH7IEURDN6OEAZPXUAQN6CRJHWRA/,459126
amzn1.account.AGSJ5YJMCW42XW5ACGJDFT6OJ3MQ/,3964678
amzn1.account.AEVGBIPRZ4BBUU26TX5WHDOKXEZQ/,16820213
amzn1.account.AFNWC3S4FBTBQLB6HSM4YA7X7PEQ/,5189
amzn1.account.AH4I3BJ2JOCSGOO3V6UEMMCLH76A/,856955
amzn1.account.AF2Y22YDOVNM6JQM2YWVFJPNUPOA/,124573
amzn1.account.AFO4ULROANAL6U6RNRHKJXONQ2DA/,1508621
amzn1.account.AHV3UKALKDU3D4TO6BIKBAGWDHDA/,1234111
amzn1.account.AED56NXHEPOXOPIKYLVCP3OMSRPA/,106000
amzn1.account.AHL6NX6NMCXET2J6RZZPLKE2II3A/,858814
amzn1.account.AGQW56UURMG42VFKROTLJ5PDJREQ/,230536
amzn1.account.AETY3SHTYTVYS44N6SM4YLHU3EPA/,7547881
amzn1.account.AEHXVBOC52K2RRMSZQCB3NJILPZQ/,241529
,
amzn1.account.AH3XE6ZGKBM3DHYDFLHVHG5P3TXQ/,7199267
amzn1.account.AGJDWWC67ZI7EPYIL52HPUUQ5P2A/,4190
amzn1.account.AHZAFXIJZ532K7TKVUYTFV5RN4VQ/,2141274
amzn1.account.AGYJ7QSKHXNOGOJXEYSU4XZ3EZJA/,20053
amzn1.account.AHK2ADBKJG6C26ZFR2HWF6CL35JA/,471917
amzn1.account.AGFTPJP5GXEIKF6Y2I7IHTUADRDA/,271785
amzn1.account.AF552FOCJXR4WWLTQQNPQ3U6Z6XA/,377165
amzn1.account.AFASWXNBGIGODXAGGOKPJFMXIPAA/,635
amzn1.account.AHDRUETTQEHN6LPGFONSYXOK6SWA/,543563
amzn1.account.AFMZAADESAOY66SGEPM25OPRT6BQ/,31392
amzn1.account.AFA3MWNVHYQOBIXNHZI5Z26YSTIA/,5379146
amzn1.account.AG7ATDATVSJCDLFVTOSGBFVPHO3Q/,18988991
amzn1.account.AGGZBHNVM3IR7DYII7KFNZYONSHQ/,47963274
amzn1.account.AFO2R4JV2QE7SJ5CXS53XX7NG4ZA/,5784710
amzn1.account.AFHLEC6434OVLWF6SXXZRSOIQDCQ/,22994
amzn1.account.AF2FHFWU247FKTW5OHIFBGYURANQ/,11442
amzn1.account.AHF5E5VYXDYWKVMFW7MAPJ7VY2EQ/,87845
amzn1.account.AFAWHRH5SMYTLVJAA4D2ALJHN5HA/,79985
amzn1.account.AF473OKXHKFJ3XHX47657EN4JXRA/,2272
amzn1.account.AHCGJDBR7D35YCM6XTKE3O42NQLQ/,405214
amzn1.account.AF43QV53XI3BITB6R64663ACQUNA/,1143878
amzn1.account.AFGHRNEBR6HK35XDJS7B6ABMBSTA/,1410921
amzn1.account.AF547G6MU34F5BDBC7UULTJJDX7A/,591773
amzn1.account.AGEUPX6P6YRG67DI2PQBYJOZK6TA/,83518
amzn1.account.AGXQ26OCVTJJYR2WYJSJ3NDACL6Q/,84397973
amzn1.account.AFEXWS6W6GPSC7RDAGZYXS553VTQ/,136653
amzn1.account.AFBTEPVQF5DDNVG4FV5QLM5UB3QA/,706404
amzn1.account.AHJQG74CMKYM2YLAE6QJSXKN25SQ/,586534
amzn1.account.AH2A3ZWRTDK6XMNQBGNONJLBXXQA/,1073169
amzn1.account.AHMH5E346D4DMI765Z4WVYTHTE4A/,763882
amzn1.account.AGCX7WPEA4PHZ6MHWRYSSL25PBMA/,530553
amzn1.account.AHLSNYQLJ2WRLYZW4ZV5MKB7W4QQ/,1145050
amzn1.account.AEV73GNU76JFHWBG4RR2SWJP7CWA/,261237
amzn1.account.AHGNLVVZSCSDQP2GRXKVB4RLKDCA/,8374489
amzn1.account.AEIVAZKUP2T7TOBCYSAP2CM3UICQ/,2040751
amzn1.account.AHXK5OANQBM6ZUJMRFXM5ZG4YTUA/,4403
amzn1.account.AGH7DFI5KYXQ257Z6OJMX7S6XOEQ/,519257
amzn1.account.AGYGX6A6UXTE7ODNHSS7N6OCP5GQ/,5581798
amzn1.account.AG2E2G762XJDCH7RVOI7VAD4MABQ/,39101
amzn1.account.AERZ7EQSLX3RGPOULXZGBNNJ7LKQ/,1228123
amzn1.account.AE66ZZRYPJRI5MUNCRZAWFDKJ7DA/,677
amzn1.account.AFY43VZHHLGAZ2VVXT65KMLDY5VQ/,18712068
amzn1.account.AGD6MT5EJEAT2CJIOSY3RHCLAOAA/,211533
amzn1.account.AGEDF6JTR7ULVHC5Q76CMRY54BEA/,5803683
amzn1.account.AHN6A4CSLWHG63ZPZNKOJKQWQFRQ/,3510
amzn1.account.AGVGXQ64BOCN6BVFUH5OHLMMYUAA/,1792420
amzn1.account.AFXKIPJ4WDGZJIIAXFO4YSHPYVOA/,225301
amzn1.account.AGAKK5PKTNAF3BAOYUHVVI4VY7HQ/,2124540
amzn1.account.AHOD7EWZIB6ACIENNLEFX3PFT64A/,1380724
amzn1.account.AF3OFUSAH5XFTLJO3N67LCNZFBTQ/,2511379
amzn1.account.AFPZPNU3ZGXSHOD4A6KCLG4PIQIA/,136411
amzn1.account.AFBNAOVQDCCJAYG6MX66DOKOKOUQ/,84377286
amzn1.account.AFHV6THYTPPXDBOVGYKPZ2SZZN6Q/,7637827
amzn1.account.AEAMJIGSA5T2IGROYDLVDAK6Y7KQ/,83767415
amzn1.account.AHESS3AV3YV7XQBI7MOGFNABR2LA/,629018
amzn1.account.AFVRXQXGRLTBEHDEVWXXKQHRWU6Q/,229118
amzn1.account.AECOSK3GGX5VGBKWX3XMVKT5T53Q/,8165515
amzn1.account.AGZCXNBGRY6ZLX3FUPBNW7FIOCFQ/,454828
amzn1.account.AHTOYVYI3M4X6764LL7MHGPI4DDQ/,3605055
amzn1.account.AE2C3NX2W2ZA2IVRUPANULUX55GQ/,5979608
amzn1.account.AGRXRMPBNPUWSW5U22ZQEZJNJCQQ/,285542
amzn1.account.AE244WO5IN545IK7F2HSJT4JAGXQ/,518953
amzn1.account.AHEYQNBUIUIATX2LYLZEGEB5TAKQ/,13915670
amzn1.account.AHAHS2FCGUDLCZ4XHBLYGL2CC3EA/,666
amzn1.account.AEKKPIXCLQ7T3I4WFYFEYDEUUJSA/,8365452
amzn1.account.AGITQPMIHR4KTJTKCME7D6BODPQA/,466871
amzn1.account.AGBBOQF3SDSXQBKM7VGU7VRI2PQQ/,1622025
amzn1.account.AHQUO2NY6RRXCSKGIPNRRJ7ZTBRQ/,65142742
amzn1.account.AFKW465I7PI54IP2N6M7QWUEWDOQ/,189509
amzn1.account.AHGPDXCRUQVDEWELCLPJPIS2VCNQ/,82915
amzn1.account.AFD3Y3ATRFNV75ZKMXZXDWM4WY6A/,14032
amzn1.account.AFBGTWBY5IEVFNRUKR2GTZSW2BLQ/,137123
amzn1.account.AHIZVRTJADXKKYYPFROUD4INGHOA/,2065122
amzn1.account.AFG6XEWGG5GUXC3JYHGOJGFBC3OQ/,2267612
amzn1.account.AEJP2HACRR7KRHETYWFQVS6HZ2YQ/,4483599
amzn1.account.AFSE6DICP5O6BVXHOK6DEWCC7OEQ/,953277
amzn1.account.AGONCLJRZCH7PBZVWTNXHXMK66TQ/,481399
amzn1.account.AEFRXDUDJDKZ4JXAXJMWEE5YGDZQ/,33438
amzn1.account.AHHEV6DT2JZY7EXZF7F276IHBHHQ/,222048
amzn1.account.AFHXUTH4WNO7SIWAVUN4CGBEKBIQ/,667976
amzn1.account.AEITVZPPJRQ5F4KFVNXHTG6YNSVA/,549076
amzn1.account.AFMRXH3MV2KREPRUCLCZZL454IMA/,728035
amzn1.account.AHEB2Q4QENBXRRNRLIHTDKN5XUZQ/,124692
amzn1.account.AEXECPHIPRNSKLKPGHJF4YNB6LFA/,6326563
amzn1.account.AHE5TLDFJ3BHFPZ72ZMPHM5XX3CA/,10247
amzn1.account.AGSF4W3OG6RDFTJLVHBZW3MCMYWA/,307846
amzn1.account.AGZ4OME3ETMQTC5FLQODIQL5SMXQ/,376178
amzn1.account.AH32BDESO46X2E5BPUBH6Y2HK5NQ/,642524
amzn1.account.AG7OQD4XQ6UJDQSANEKWIOD2Q6DA/,2045467
amzn1.account.AE3MQHKL4H3EISPWR2PPU36KP3WQ/,83334830
amzn1.account.AGUYHS2FKEMQ7MNIW6HIJG5HBOIA/,621620
amzn1.account.AG553FIC5FRESFQHQZ5H6NCTPQPA/,33425
amzn1.account.AH2KTPODKXBNGHDQZL7ZCDRMI3PQ/,2825
amzn1.account.AGWENKOUX2SRQAV6WKKE3K64OL5A/,3518106
amzn1.account.AG3YBY2WBQW45JJ7X5WI5AV4LAFQ/,22541
amzn1.account.AGOHQ5FCIHDNMMAPAFFVQIBTLTZQ/,69661
amzn1.account.AHGII3C2R45IQRIV3ITQ23OHRWVQ/,3817449
amzn1.account.AEPSNXLJGLL6KUBHSTG4NIBLVOYA/,84478406
amzn1.account.AGIO4IFPRNPITWFMWGW5P4N27SEA/,83831914
amzn1.account.AFWQJ7GOJPSWLNDXNSILOZL3ZKAA/,510712
amzn1.account.AF3UMDHE5HTK7T7UHLPSZSQYFLTQ/,4848157
amzn1.account.AGCRM5WV7TOOTGAGRRAINJIGSDEQ/,595679
amzn1.account.AGKNX57YFZMO5QRAYCVJ2BDH3WLA/,92904
amzn1.account.AGXXFRGN6UMDZ4IXIITSTV7RQHCA/,419471
amzn1.account.AHX55WZNGDEHV4XRMCK3CB6OPXOA/,83868684
amzn1.account.AGYLW7KG5UUCUUU5XOI3GLOZ3KLQ/,1852360
amzn1.account.AHLPVAKSXI2MHFHMXHDZYS4ZFWPA/,612543
amzn1.account.AHPUNNPYLLQZSV56MUEOGSHANASQ/,331
amzn1.account.AHJ2ZTTVXAZDOZZKCI4ZWL3EB3PQ/,624924
amzn1.account.AELFD3BIVLLR2AIGPTDHOQNSY5EA/,8240077
amzn1.account.AESNEFILQCJVK6QBBUSQ4C6MJC3Q/,963234
